Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
2,Tymen,X8,2907.2,79.43319702,8.997800827,2.533800125,2.464999914,291.5698242,1,1
2,Tymen,X8,2907.3,79.93920135,9.603199959,2.577800035,2.456500053,292.9541016,1,1
2,Tymen,X8,2907.4,80.44519806,11.32499981,2.621799946,2.448999882,294.7141113,1,1
2,Tymen,X8,2907.5,80.81039429,11.87080002,2.665800095,2.444499969,296.8029175,1,1
2,Tymen,X8,2907.6,80.61239624,11.68959999,2.685799837,2.437000036,298.9049988,1,1
2,Tymen,X8,2907.7,80.41439819,12.60010052,2.60379982,2.431500196,300.4659119,1,1
2,Tymen,X8,2907.8,80.21640015,13.81550026,2.497799873,2.434000015,300.84552,1,1
2,Tymen,X8,2907.9,80.01839447,16.88019943,2.391799927,2.434499979,299.565979,1,1
7,Tymen,X8,2908,80.51120758,15.40610027,2.28579998,2.430500031,296.5751953,1,1
7,Tymen,X8,2908.1,83.76720428,15.82249928,2.205199957,2.421999931,292.3413086,1,1
7,Tymen,X8,2908.2,87.02320862,14.05949974,2.23239994,2.401000023,287.7164917,1,1
7,Tymen,X8,2908.3,90.27919769,10.30819988,2.284399986,2.382499933,283.6159058,1,1
7,Tymen,X8,2908.4,93.53520203,8.80700016,2.336400032,2.389500141,280.6838989,1,1
4,Tymen,X8,2908.5,96.17959595,7.901000023,2.388400078,2.423999786,279.1051941,1,1
4,Tymen,X8,2908.6,96.37760925,7.758199692,2.435600042,2.48300004,278.6523132,1,1
4,Tymen,X8,2908.7,96.57559967,7.684500217,2.462400198,2.529500008,278.8934326,1,1
4,Tymen,X8,2908.8,96.77359772,7.668900013,2.484400034,2.536000013,279.4127197,1,1
4,Tymen,X8,2908.9,96.97160339,7.815599918,2.506400108,2.514999866,279.9143066,1,1
4,Tymen,X8,2909,96.45240021,7.846400261,2.528399944,2.502500057,280.197998,1,1
4,Tymen,X8,2909.1,93.06439209,7.831799507,2.544199944,2.509000063,280.0899048,1,1
4,Tymen,X8,2909.2,89.67639923,7.831799984,2.533799887,2.512500048,279.4234009,1,1
4,Tymen,X8,2909.3,86.28839874,7.841899872,2.517799854,2.513500214,278.096405,1,1
4,Tymen,X8,2909.4,82.90039825,7.772799969,2.50180006,2.514499903,276.1605835,1,1
2,Tymen,X8,2909.5,79.30120087,7.650700092,2.485800028,2.498000145,273.8909912,1,1
2,Tymen,X8,2909.6,74.85720062,7.784700394,2.488000154,2.476500034,271.7664795,1,1
2,Tymen,X8,2909.7,70.41320038,8.700100899,2.567600012,2.470999956,270.3490906,1,1
2,Tymen,X8,2909.8,65.96920013,10.36779976,2.665600061,2.470000029,270.0961914,1,1
2,Tymen,X8,2909.9,61.52519608,11.55809975,2.763600111,2.464999914,271.1963196,1,1
2,Tymen,X8,2910,58.25600052,12.00399971,2.861599922,2.458499908,273.5258789,1,1
2,Tymen,X8,2910.1,59.68600082,12.76819992,2.93659997,2.465000153,276.7311096,1,1
2,Tymen,X8,2910.2,61.11600113,12.74729919,2.913800001,2.478500128,280.3728943,1,1
2,Tymen,X8,2910.3,62.54599762,12.52359962,2.867799997,2.488000154,284.053009,1,1
2,Tymen,X8,2910.4,63.97599792,11.48659992,2.821799994,2.489500046,287.4899902,1,1
2,Tymen,X8,2910.5,65.55999756,10.26790047,2.775800228,2.487999916,290.5579834,1,1
2,Tymen,X8,2910.6,67.75999451,10.06039906,2.726999998,2.482499838,293.2604065,1,1
2,Tymen,X8,2910.7,69.95999908,9.633399963,2.666199684,2.461499929,295.6456299,1,1
3,Tymen,X8,2910.8,72.15999603,9.399799347,2.602200031,2.441999912,297.6882019,1,1
3,Tymen,X8,2910.9,74.36000061,9.386200905,2.538199902,2.430500031,299.2408142,1,1
3,Tymen,X8,2911,76.63479614,9.493200302,2.47420001,2.424999952,300.0587769,1,1
3,Tymen,X8,2911.1,79.20880127,9.155799866,2.418400049,2.424000025,299.905304,1,1
3,Tymen,X8,2911.2,81.78279877,8.559900284,2.397599936,2.42050004,298.6668091,1,1
3,Tymen,X8,2911.3,84.35680389,8.840900421,2.385599852,2.416499853,296.4457703,1,1
3,Tymen,X8,2911.4,86.93080139,9.09679985,2.373600006,2.419000149,293.584198,1,1
3,Tymen,X8,2911.5,89.01200867,8.194899559,2.361599922,2.413000107,290.5947266,1,1
3,Tymen,X8,2911.6,89.12200928,7.704999924,2.354799986,2.408000231,287.9937134,1,1
3,Tymen,X8,2911.7,89.23200226,7.687200069,2.370000124,2.433500051,286.1252136,1,1
3,Tymen,X8,2911.8,89.3420105,7.771900177,2.390000105,2.472500086,285.072113,1,1
3,Tymen,X8,2911.9,89.45201111,7.793600082,2.410000086,2.495000124,284.6905823,1,1
3,Tymen,X8,2912,89.47400665,7.848999977,2.430000305,2.493000031,284.7463074,1,1
3,Tymen,X8,2912.1,89.14398956,7.990000248,2.447200298,2.488500118,285.0548096,1,1
3,Tymen,X8,2912.2,88.81399536,8.132800102,2.452399969,2.491000175,285.5326233,1,1
3,Tymen,X8,2912.3,88.48399353,8.210900307,2.454400063,2.490999937,286.1625061,1,1
